state,date,pct_access,engagement_index,confirmed,deaths,recovered,active,doses
Connecticut,2020-04-12,0.19010204081632653,96.51948979591836,12035,554,,11481.0,0
Connecticut,2020-04-13,0.2749640287769784,50.84136690647482,13381,602,,12779.0,0
Connecticut,2020-04-14,0.236,37.12578571428571,13989,671,,13318.0,0
Connecticut,2020-04-15,0.205359477124183,41.27928104575163,14755,868,,13887.0,0
Connecticut,2020-04-16,0.21419847328244274,38.27709923664122,15884,971,,14913.0,0
Connecticut,2020-04-17,0.180703125,27.61,16809,1036,,15773.0,0
Connecticut,2020-04-18,0.18406504065040652,37.69365853658537,17550,1086,,16464.0,0
Connecticut,2020-04-19,0.24248,47.2244,17962,1127,,16835.0,0
Connecticut,2020-04-20,0.8714338235294118,257.7621323529412,19815,1331,,18484.0,0
Connecticut,2020-04-21,0.9368992248062016,293.99414728682166,20360,1423,,18937.0,0
Connecticut,2020-04-22,0.6996296296296296,169.60399176954732,22469,1544,,20925.0,0
Connecticut,2020-04-23,0.9231060606060606,275.1059090909091,23100,1639,,21461.0,0
Connecticut,2020-04-24,0.8305454545454546,234.3312,23936,1767,,22169.0,0
Connecticut,2020-04-25,0.29178082191780824,61.996369863013705,24583,1865,,22718.0,0
Connecticut,2020-04-26,0.2701829268292683,63.23780487804878,25269,1924,,23345.0,0
Connecticut,2020-04-27,0.8978909090909091,267.12574545454544,25997,2012,,23985.0,0
Connecticut,2020-04-28,0.8092387543252595,229.77117647058822,26312,2087,,24225.0,0
Connecticut,2020-04-29,0.6495416666666667,148.30204166666667,26767,2169,,24598.0,0
Connecticut,2020-04-30,0.8700735294117647,262.4095588235294,27700,2257,0.0,25443.0,0
Connecticut,2020-05-01,0.90916,245.23196,28764,2339,4346.0,22079.0,0
Connecticut,2020-05-02,0.31699248120300755,67.23541353383459,29287,2436,4346.0,22505.0,0
Connecticut,2020-05-03,0.2717142857142857,59.535,29287,2436,4346.0,22505.0,0
Connecticut,2020-05-04,0.8546570397111913,240.28548736462093,29973,2556,4346.0,23071.0,0
Connecticut,2020-05-05,0.8413207547169811,227.2189811320755,30621,2633,4346.0,23642.0,0
Connecticut,2020-05-06,0.6469037656903767,150.78,30995,2718,4346.0,23931.0,0
Connecticut,2020-05-07,0.8828682170542635,246.02499999999998,31784,2797,5413.0,23574.0,0
Connecticut,2020-05-08,0.9279148936170213,251.50974468085104,32411,2874,5413.0,24124.0,0
Connecticut,2020-05-09,0.3312337662337662,75.94779220779222,32984,2932,5413.0,24639.0,0
Connecticut,2020-05-10,0.23809815950920246,49.31386503067485,33554,2967,5413.0,25174.0,0
Connecticut,2020-05-11,0.8487455197132616,243.3299641577061,33765,3008,5413.0,25344.0,0
Connecticut,2020-05-12,0.862319391634981,239.68992395437263,34333,3041,5413.0,25879.0,0
Connecticut,2020-05-13,0.6182661290322581,147.44729838709677,34855,3125,5413.0,26317.0,0
Connecticut,2020-05-14,0.852621722846442,233.8944943820225,35464,3219,6264.0,25981.0,0
Connecticut,2020-05-15,0.8698367346938776,237.43567346938775,36085,3285,6264.0,26536.0,0
Connecticut,2020-05-16,0.30583850931677015,70.83490683229813,36703,3339,6264.0,27100.0,0
Connecticut,2020-05-17,0.2829012345679012,64.8708024691358,37419,3408,6264.0,27747.0,0
Connecticut,2020-05-18,0.8437543859649123,232.2737192982456,38116,3450,6264.0,28402.0,0
Connecticut,2020-05-19,0.8410332103321033,240.22546125461255,38430,3472,6264.0,28694.0,0
Connecticut,2020-05-20,0.5998353909465021,154.3929218106996,39017,3529,6264.0,29224.0,0
Connecticut,2020-05-21,0.8532319391634982,254.774752851711,39208,3583,6264.0,29361.0,0
Connecticut,2020-05-22,0.81524,222.41644,39640,3637,7127.0,28876.0,0
Connecticut,2020-05-23,0.2886708860759494,72.29594936708861,40022,3675,7127.0,29220.0,0
Connecticut,2020-05-24,0.20822695035460992,59.01489361702128,40468,3693,7127.0,29648.0,0
Connecticut,2020-05-25,0.300969696969697,68.49012121212122,40873,3742,7127.0,30004.0,0
Connecticut,2020-05-26,0.7696057347670251,212.28641577060932,41303,3769,7127.0,30407.0,0
Connecticut,2020-05-27,0.5742914979757084,143.99846153846156,41288,3803,7127.0,30358.0,0
Connecticut,2020-05-28,0.8188727272727273,238.74632727272729,41559,3826,7127.0,30606.0,0
Connecticut,2020-05-29,0.7348,210.81498181818182,41762,3868,7127.0,30767.0,0
Connecticut,2020-05-30,0.3217088607594937,75.01417721518987,42022,3912,7127.0,30983.0,0
Connecticut,2020-05-31,0.2846527777777778,74.59798611111111,42201,3944,7127.0,31130.0,0
Connecticut,2020-06-01,0.753971119133574,219.6354512635379,42740,3970,7511.0,31259.0,0
Connecticut,2020-06-02,0.7246181818181818,198.11800000000002,42979,3972,7511.0,31496.0,0
Connecticut,2020-06-03,0.5385393258426966,133.78101123595505,43091,3989,7511.0,31591.0,0
Connecticut,2020-06-04,0.7327651515151514,217.48886363636362,43239,4007,7284.0,31948.0,0
Connecticut,2020-06-05,0.6587878787878787,189.08655303030304,43460,4038,7284.0,32138.0,0
Connecticut,2020-06-06,0.317710843373494,86.99385542168675,43818,4055,7284.0,32479.0,0
Connecticut,2020-06-07,0.27116883116883117,72.25,43968,4071,7284.0,32613.0,0
Connecticut,2020-06-08,0.6660759493670886,176.67362869198314,44092,4084,7284.0,32724.0,0
Connecticut,2020-06-09,0.5666390041493776,152.00302904564316,44179,4097,7284.0,32798.0,0
Connecticut,2020-06-10,0.5122388059701493,134.2557711442786,44347,4120,7284.0,32943.0,0
Connecticut,2020-06-11,0.5223529411764706,125.01651583710407,44461,4146,7611.0,32704.0,0
Connecticut,2020-06-12,0.4038805970149254,103.9923880597015,44689,4159,7611.0,32919.0,0
Connecticut,2020-06-13,0.23513513513513515,81.58216216216215,44994,4186,7611.0,33197.0,0
Connecticut,2020-06-14,0.2072897196261682,58.7607476635514,45088,4201,7611.0,33276.0,0
Connecticut,2020-06-15,0.3516666666666667,91.68714285714286,45235,4204,7611.0,33420.0,0
Connecticut,2020-06-16,0.3198013245033113,64.12225165562913,45349,4210,7611.0,33528.0,0
Connecticut,2020-06-17,0.18244680851063827,34.653936170212766,45429,4219,7611.0,33599.0,0
Connecticut,2020-06-18,0.14942307692307694,44.31288461538462,45440,4226,7842.0,33372.0,0
Connecticut,2020-06-19,0.14679487179487177,59.616666666666674,45557,4238,7842.0,33477.0,0
Connecticut,2020-06-20,0.13015384615384618,65.69153846153846,45715,4251,7842.0,33622.0,0
Connecticut,2020-06-21,0.12850746268656715,68.23671641791044,45755,4260,7842.0,33653.0,0
Connecticut,2020-06-22,0.13819277108433736,49.21325301204819,45782,4263,7842.0,33677.0,0
Connecticut,2020-06-23,0.15988636363636363,46.439431818181816,45899,4277,7842.0,33780.0,0
Connecticut,2020-06-24,0.16265060240963855,45.83409638554217,45913,4287,7842.0,33784.0,0
Connecticut,2020-06-25,0.16975903614457832,33.32240963855421,45994,4298,8053.0,33643.0,0
Connecticut,2020-06-26,0.1556,39.58306666666667,46059,4307,8053.0,33699.0,0
Connecticut,2020-06-27,0.1292156862745098,40.660196078431376,46206,4311,8053.0,33842.0,0
Connecticut,2020-06-28,0.11515625,33.321718749999995,46303,4316,8053.0,33934.0,0
Connecticut,2020-06-29,0.19530120481927712,51.72385542168674,46362,4320,8053.0,33989.0,0
Connecticut,2020-06-30,0.18553191489361703,47.02606382978723,46514,4322,8053.0,34139.0,0
Connecticut,2020-07-01,0.1880722891566265,51.291084337349396,46572,4324,8053.0,34195.0,0
Connecticut,2020-07-02,0.18162499999999998,46.468125,46646,4326,8210.0,34110.0,0
Connecticut,2020-07-03,0.13294117647058826,48.56632352941177,46717,4335,8210.0,34172.0,0
Connecticut,2020-07-04,0.10454545454545455,40.35000000000001,46717,4335,8210.0,34172.0,0
Connecticut,2020-07-05,0.12716981132075472,40.291320754716985,46717,4335,8210.0,34172.0,0
Connecticut,2020-07-06,0.25857142857142856,73.56678571428571,46976,4338,8210.0,34428.0,0
Connecticut,2020-07-07,0.28072289156626506,72.45144578313253,47033,4338,8210.0,34485.0,0
Connecticut,2020-07-08,0.2635227272727273,71.95068181818182,47108,4343,8210.0,34555.0,0
Connecticut,2020-07-09,0.2759770114942529,74.80678160919541,47209,4348,8351.0,34510.0,0
Connecticut,2020-07-10,0.1682857142857143,45.25485714285715,47287,4348,8351.0,34588.0,0
Connecticut,2020-07-11,0.12982142857142856,44.275,47287,4348,8351.0,34588.0,0
Connecticut,2020-07-12,0.13346938775510203,46.89938775510205,47287,4348,8351.0,34588.0,0
Connecticut,2020-07-13,0.22820224719101123,58.995505617977535,47510,4371,8351.0,34788.0,0
Connecticut,2020-07-14,0.2662921348314607,75.03089887640449,47530,4372,8351.0,34807.0,0
Connecticut,2020-07-15,0.2173469387755102,55.960306122448976,47636,4380,8351.0,34905.0,0
Connecticut,2020-07-16,0.27773333333333333,66.1068,47750,4389,8466.0,34895.0,0
Connecticut,2020-07-17,0.13341463414634147,47.58841463414634,47893,4396,8466.0,35031.0,0
Connecticut,2020-07-18,0.13161290322580646,43.07403225806452,47893,4396,8466.0,35031.0,0
Connecticut,2020-07-19,0.12543859649122807,46.96842105263158,47893,4396,8466.0,35031.0,0
Connecticut,2020-07-20,0.24144578313253012,63.395542168674694,48055,4406,8466.0,35183.0,0
Connecticut,2020-07-21,0.2278125,55.88229166666667,48096,4406,8466.0,35224.0,0
Connecticut,2020-07-22,0.22758620689655173,56.311494252873565,48223,4406,8466.0,35351.0,0
Connecticut,2020-07-23,0.22031914893617022,55.787234042553195,48232,4410,8516.0,35306.0,0
Connecticut,2020-07-24,0.16323943661971832,47.144366197183096,48776,4413,8516.0,35847.0,0
Connecticut,2020-07-25,0.11246376811594203,35.62492753623188,48776,4413,8516.0,35847.0,0
Connecticut,2020-07-26,0.13203703703703704,35.584259259259255,48776,4413,8516.0,35847.0,0
Connecticut,2020-07-27,0.212,55.16400000000001,48983,4418,8516.0,36049.0,0
Connecticut,2020-07-28,0.2298936170212766,63.40734042553191,49077,4423,8516.0,36138.0,0
Connecticut,2020-07-29,0.1915463917525773,53.6918556701031,49540,4425,8516.0,36599.0,0
Connecticut,2020-07-30,0.21359550561797755,54.02191011235955,49670,4431,8613.0,36626.0,0
Connecticut,2020-07-31,0.123875,36.206125,49810,4432,8613.0,36765.0,0
Connecticut,2020-08-01,0.11456140350877193,43.05017543859649,49810,4432,8613.0,36765.0,0
Connecticut,2020-08-02,0.13089285714285714,51.127678571428575,49810,4432,8613.0,36765.0,0
Connecticut,2020-08-03,0.1491139240506329,42.02417721518987,50062,4437,8613.0,37012.0,0
Connecticut,2020-08-04,0.1322784810126582,44.230886075949364,50110,4437,8613.0,37060.0,0
Connecticut,2020-08-05,0.11285714285714285,31.276507936507937,50225,4437,8613.0,37175.0,0
Connecticut,2020-08-06,0.09999999999999999,39.85014084507043,50245,4437,8721.0,37087.0,0
